"","OR","AP","DV","mouse"
"1","Olfr360","656.260051788177","-2134.06769816442","1"
"2","Olfr487","-26.0088107450447","-482.392891459292","1"
"4","Olfr855","101.289999757986","-790.565006262711","1"
"5","Olfr99","268.430159473197","-854.682957401395","1"
"7","Olfr654","583.268369420426","-935.85230837322","1"
"8","Olfr784","820.30943947002","-1509.69465272654","1"
"9","Olfr788","964.914947571305","-1859.76379373187","1"
"12","Olfr1318","1068.44930167438","-2110.40557689284","1"
"14","Olfr121","1256.40999998291","-2224.92705799614","1"
"15","Olfr683","349.444911340132","-29.2949989419805","1"
"17","Olfr16","1012.30582685658","-952.977274826959","1"
"18","Olfr118","1288.13669904375","-1620.72415222585","1"
"19","Olfr129","1328.12267296757","-1717.52444515778","1"
"20","Olfr464","1233.20750622802","-1487.74847517452","1"
"21","Olfr640","849.856920465997","-559.711832423658","1"
"23","Olfr1031","919.105216013596","-727.351998118117","1"
"28","Olfr578","927.943167226462","-408.243066150474","1"
"31","Olfr1018","1416.16427103152","-1590.1561528221","1"
"32","Olfr1045","1145.96106352193","-936.033042355855","1"
"33","Olfr120","1477.69974776472","-1398.62035229484","1"
"34","Olfr745","1194.1687134774","-712.232489726067","1"
"35","Olfr723","1969.70358190158","-2249.18654418082","1"
"36","Olfr1110","1793.88219285003","-1823.54824420312","1"
"37","Olfr1295","1895.40458845142","-2069.31936514887","1"
"39","Olfr350","1416.04648417959","-568.357984891279","1"
"40","Olfr1501","1638.85162198305","-1107.73718438759","1"
"41","Olfr491","2075.58838354398","-1484.00539994286","1"
"42","Olfr727","2304.32206615193","-2037.73675389286","1"
"43","Olfr1299","2193.58524351191","-1769.65883011074","1"
"44","Olfr1477","1981.78079171399","-575.902027614377","1"
"45","Olfr566","356","89.523444028494","2"
"46","Olfr592","356","-85.6650750664736","2"
"47","Olfr804","445","-1752.43174858782","2"
"48","Olfr822","445","-949.672666666327","2"
"49","Olfr78","534","-239.689756966384","2"
"50","Olfr672","534","-757.614648833094","2"
"51","Olfr598","712","-729.700076664582","2"
"56","Olfr481","890","-847.567805708164","2"
"57","Olfr433","979","-469.046887658527","2"
"58","Olfr479","979","-1413.09205799586","2"
"60","Olfr969","979","-800.13043950835","2"
"63","Olfr1048","979","-711.417147709206","2"
"64","Olfr73","1068","-624.47297937374","2"
"65","Olfr517","1068","-1040.17745651053","2"
"66","Olfr963","1068","-1158.12577147969","2"
"67","Olfr994","1068","-343.031962874894","2"
"68","Olfr1086","1068","-189.045467863123","2"
"69","Olfr55","1157","-1901.23399342919","2"
"70","Olfr749","1157","-1180.54845559932","2"
"71","Olfr1123","1157","-2168.31341220662","2"
"72","Olfr1252","1157","-2103.06649431893","2"
"74","Olfr1424","1157","-2329.05210761784","2"
"76","Olfr47","1246","-1480.34446540577","2"
"77","Olfr376","1246","-339.954826749044","2"
"78","Olfr1384","1246","-2528.78823579869","2"
"80","Olfr1217","1335","-1557.43472007138","2"
"81","Olfr1250","1335","-1855.27876071476","2"
"82","Olfr1260","1335","-2547.32536309241","2"
"83","Olfr1496","1335","-749.967278804162","2"
"84","Olfr122","1424","-1899.00940244219","2"
"85","Olfr1364","1424","-2315.10863663699","2"
"86","Olfr212","1513","-2316.07408969824","2"
"87","Olfr1013","1513","-929.011266405912","2"
"88","Olfr1229","1513","-2738.3089673003","2"
"92","Olfr728","1602","-2761.02232332373","2"
"16","Olfr798","752.641082806462","-1375.30330857898","shared"
"22","Olfr791","801.251718973801","-1404.65834623523","shared"
"3","Olfr1030","875.112948603584","-817.861104984345","shared"
"410","Olfr1357","867.18193860541","-743.966979760704","shared"
"52","Olfr771","781.806812262645","-1919.15486543125","shared"
"6","Olfr987","1029.53037349867","-783.260146258317","shared"
"73","Olfr1000","918.644593762587","-1260.57383135637","shared"
"89","Olfr1420","1064.75944163551","-2157.52584537731","shared"
"91","Olfr1428","1138.53966475466","-2198.75778243505","shared"
"10","Olfr1189","1284.51393862556","-1529.46906300094","shared"
"11","Olfr309","1730.94551462984","-1795.98008544031","shared"
"121","Olfr414","1645.19541429606","-2319.99313941958","shared"
"13","Olfr722","1634.47650658441","-2254.23278219428","shared"
"141","Olfr1288","1584.4000509608","-2236.52214725037","shared"
