"Balanced_accuracy" "Threshold" "Group"
"1" "0.955808204778793" "2600" "OR"
"2" "0.93069584573261" "2600" "OR"
"3" "0.927954842366607" "2600" "OR"
"4" "0.957083333333334" "2600" "OR"
"5" "0.946437873312873" "2600" "OR"
"6" "0.944565332543274" "2600" "OR"
"7" "0.958715624156801" "2600" "OR"
"8" "0.967148109243697" "2600" "OR"
"9" "0.951997299092887" "2600" "OR"
"10" "0.9516400118606" "2600" "OR"
"11" "0.932978120735474" "2600" "OR"
"12" "0.925723353443942" "2600" "OR"
"13" "0.932271700433465" "2600" "OR"
"14" "0.952251948943125" "2600" "OR"
"15" "0.94687558356676" "2600" "OR"
"16" "0.946591082032258" "2600" "OR"
"17" "0.944931193717958" "2600" "OR"
"18" "0.952661927036927" "2600" "OR"
"19" "0.961388943484532" "2600" "OR"
"20" "0.934034645909646" "2600" "OR"
"21" "0.954163434604611" "2600" "OR"
"22" "0.933384193420958" "2600" "OR"
"23" "0.941780247442012" "2600" "OR"
"24" "0.937358930925107" "2600" "OR"
"25" "0.914557586028174" "2600" "OR"
"26" "0.961860410830999" "2600" "OR"
"27" "0.956396664521664" "2600" "OR"
"28" "0.941091324436913" "2600" "OR"
"29" "0.947793005109182" "2600" "OR"
"30" "0.935169817927171" "2600" "OR"
"31" "0.949512471828648" "2600" "OR"
"32" "0.949294253044253" "2600" "OR"
"33" "0.93202210371328" "2600" "OR"
"34" "0.945485806588748" "2600" "OR"
"35" "0.964250754875755" "2600" "OR"
"36" "0.942851002667179" "2600" "OR"
"37" "0.954486236802413" "2600" "OR"
"38" "0.923659592041945" "2600" "OR"
"39" "0.949284826196591" "2600" "OR"
"40" "0.923262471828648" "2600" "OR"
"41" "0.930632361919127" "2600" "OR"
"42" "0.92479242979243" "2600" "OR"
"43" "0.934756437918203" "2600" "OR"
"44" "0.960577596423185" "2600" "OR"
"45" "0.94208602671838" "2600" "OR"
"46" "0.943917762704528" "2600" "OR"
"47" "0.934111975178152" "2600" "OR"
"48" "0.941524366156719" "2600" "OR"
"49" "0.950264240484829" "2600" "OR"
"50" "0.943972034413211" "2600" "OR"
"51" "0.945298965740142" "2600" "OR"
"52" "0.936392634149987" "2600" "OR"
"53" "0.964184128779717" "2600" "OR"
"54" "0.956588937030114" "2600" "OR"
"55" "0.947872405372405" "2600" "OR"
"56" "0.948663587229764" "2600" "OR"
"57" "0.931233939175116" "2600" "OR"
"58" "0.943539287509876" "2600" "OR"
"59" "0.94969642032142" "2600" "OR"
"60" "0.936937306974072" "2600" "OR"
"61" "0.95622128997129" "2600" "OR"
"62" "0.946764545735134" "2600" "OR"
"63" "0.965040320702085" "2600" "OR"
"64" "0.940336413498178" "2600" "OR"
