"set" "slide" "OR" "dist"
"2" 1 3 "Olfr360" 20.47
"3" 1 3 "Olfr487" 6.43
"4" 1 3 "Olfr771" 88.87
"5" 1 3 "Olfr855" 15
"6" 1 4 "Olfr99" 13.45
"7" 1 5 "Olfr1420" 28.45
"8" 1 6 "Olfr1318" 11
"9" 1 6 "Olfr1428" 37.11
"10" 1 6 "Olfr654" 13.31
"11" 1 6 "Olfr784" 82.52
"12" 1 6 "Olfr788" 10.31
"13" 1 6 "Olfr791" 56.36
"14" 1 6 "Olfr798" 75.9
"15" 1 7 "Olfr1000" 59.25
"16" 1 7 "Olfr121" 28.54
"17" 1 7 "Olfr683" 65.66
"18" 1 9 "Olfr1030" 40.06
"19" 1 9 "Olfr1031" 70.58
"20" 1 9 "Olfr118" 32.35
"21" 1 9 "Olfr1189" 30.05
"22" 1 9 "Olfr1288" 29.59
"23" 1 9 "Olfr129" 67.26
"24" 1 9 "Olfr1357" 21.5
"25" 1 9 "Olfr16" 32.81
"26" 1 9 "Olfr464" 19.71
"27" 1 9 "Olfr640" 26.47
"28" 1 10 "Olfr1018" 30.04
"29" 1 10 "Olfr1045" 30.51
"30" 1 10 "Olfr414" 51.87
"31" 1 10 "Olfr578" 18.23
"32" 1 10 "Olfr722" 35.26
"33" 1 10 "Olfr987" 9.46
"34" 1 11 "Olfr120" 40.19
"35" 1 11 "Olfr745" 36.75
"36" 1 12 "Olfr1110" 5.64
"37" 1 12 "Olfr1295" 19.14
"39" 1 12 "Olfr723" 20.99
"40" 1 13 "Olfr1501" 79.88
"41" 1 13 "Olfr309" 55.23
"42" 1 13 "Olfr350" 17.58
"45" 1 15 "Olfr1299" 110.33
"46" 1 15 "Olfr491" 78.26
"47" 1 15 "Olfr727" 15.22
"48" 1 17 "Olfr1477" 26.67
"49" 2 4 "Olfr566" 39.33
"50" 2 4 "Olfr592" 35.81
"51" 2 5 "Olfr804" 8.29
"52" 2 5 "Olfr822" 124.97
"53" 2 6 "Olfr672" 45.64
"54" 2 6 "Olfr78" 31.26
"55" 2 8 "Olfr598" 91.2
"56" 2 8 "Olfr798" 20.93
"57" 2 9 "Olfr1030" 28.59
"58" 2 9 "Olfr1357" 20.66
"60" 2 9 "Olfr791" 41.11
"61" 2 10 "Olfr481" 94.83
"63" 2 11 "Olfr1000" 81.37
"64" 2 11 "Olfr1048" 89.29
"65" 2 11 "Olfr433" 26.34
"66" 2 11 "Olfr479" 22.7
"67" 2 11 "Olfr771" 119.83
"68" 2 11 "Olfr969" 131.5
"69" 2 11 "Olfr987" 14.03
"70" 2 12 "Olfr1086" 41.74
"71" 2 12 "Olfr517" 25.63
"72" 2 12 "Olfr73" 149.46
"73" 2 12 "Olfr963" 153.93
"74" 2 12 "Olfr994" 40.24
"75" 2 13 "Olfr1123" 42.98
"76" 2 13 "Olfr1252" 155.1
"77" 2 13 "Olfr1420" 18.49
"78" 2 13 "Olfr1424" 14.99
"79" 2 13 "Olfr1428" 87.33
"80" 2 13 "Olfr55" 70.26
"81" 2 13 "Olfr749" 31.99
"82" 2 14 "Olfr1384" 28.2
"83" 2 14 "Olfr376" 56.48
"84" 2 14 "Olfr47" 14.11
"85" 2 15 "Olfr1189" 29.08
"86" 2 15 "Olfr1217" 30.35
"87" 2 15 "Olfr1250" 28.73
"88" 2 15 "Olfr1260" 14.16
"89" 2 15 "Olfr1496" 20.57
"90" 2 16 "Olfr122" 11.37
"91" 2 16 "Olfr1364" 38.82
"92" 2 17 "Olfr1013" 13.5
"93" 2 17 "Olfr1229" 61.05
"94" 2 17 "Olfr212" 27.4
"95" 2 18 "Olfr1288" 49.77
"96" 2 18 "Olfr309" 39.12
"97" 2 18 "Olfr414" 25.77
"98" 2 18 "Olfr722" 33.46
"99" 2 18 "Olfr728" 67.56
