OR,observed,predicted
Olfr1013,17.0,14.859998264423844
Olfr1018,15.450162708351442,15.037628243186287
Olfr1030,9.205221515546555,10.840356064345245
Olfr1045,11.576444306847499,11.211616780449967
Olfr1048,11.0,12.920061367790336
Olfr1110,17.843441589898642,18.30523705529079
Olfr1123,13.0,14.35256922972413
Olfr1135,15.46396305052725,14.186179883560811
Olfr1189,14.502389885307311,14.447751290439664
Olfr120,15.394471448475164,14.287997544740923
Olfr121,15.52070695125707,14.25405668217727
Olfr1217,15.0,15.355043713876588
Olfr122,16.0,16.26665348655022
Olfr1229,17.0,15.557066428191282
Olfr1250,15.0,13.586561248360605
Olfr1252,13.0,11.419193807357024
Olfr1260,15.0,14.322538872575597
Olfr1288,17.761578026909554,16.435348125620227
Olfr129,15.050636893527535,12.95407367517628
Olfr1295,18.595366447904087,17.48307389308146
Olfr1299,19.456466765774216,17.058046032608544
Olfr1318,13.992540658383058,10.89033387165934
Olfr1356,1.0,12.1511711520571
Olfr1364,16.0,16.62973743323585
Olfr1384,14.0,15.42557094874283
Olfr1420,13.138488632906459,15.795959137240319
Olfr1428,13.856665736959597,13.667229160861185
Olfr1501,16.009383852021774,15.1912782787672
Olfr16,10.687495900139655,9.202701109144039
Olfr212,17.0,15.491529662934093
Olfr309,17.961273337582533,17.260419337424675
Olfr350,13.41848481960869,11.72485713458057
Olfr360,10.177499354571154,10.253853608594323
Olfr376,14.0,11.388532827659539
Olfr414,18.00321625508764,18.10037492553645
Olfr464,13.961042145394087,14.561743655352233
Olfr47,14.0,14.390550313152772
Olfr479,11.0,13.311233145919951
Olfr481,10.0,11.832143675655733
Olfr491,18.692414541487434,16.585004380539818
Olfr55,13.0,13.647819496917714
Olfr578,7.638300062639711,11.12941322464725
Olfr592,4.0,3.5219105015599186
Olfr598,8.0,8.535363258508816
Olfr640,7.029465830712011,10.387351194295787
Olfr654,4.215218258667756,4.5023747691451295
Olfr672,6.0,6.625209937460427
Olfr722,17.935426470622797,16.865470358734846
Olfr723,19.088871998537705,17.84536116124474
Olfr727,20.088811367187294,20.648920851028404
Olfr728,18.0,13.577181189577406
Olfr73,12.0,10.229662899846257
Olfr745,11.77229029519101,12.145411642205762
Olfr771,10.201188831990175,11.302041231992034
Olfr78,6.0,10.233587271146515
Olfr784,10.135812162367072,11.141901753180138
Olfr788,12.50349978682478,12.960724158427087
Olfr791,9.407317376172585,5.929478425969715
Olfr798,8.797330087004584,7.7188009591656135
Olfr804,5.0,8.2887798235595
Olfr910,15.17027776844492,15.989758728054642
Olfr963,12.0,10.281193388930857
Olfr969,11.0,9.023188794243822
Olfr987,10.92165117709884,12.45164140095033
