OR,observed,predicted
Olfr1013,-1449.52995198871,-2050.74101780993
Olfr1018,-2759.681270880748,-2923.488554471858
Olfr1030,-1258.9361881743173,-1472.35306722513
Olfr1045,-1595.0976369826565,-1291.2928145187743
Olfr1048,-1108.75196903705,-979.4009599892026
Olfr1110,-3149.8800258048573,-3331.068728568438
Olfr1123,-3356.90535809123,-3160.7298669511647
Olfr1135,-1622.5950352776028,-2365.0708830103204
Olfr1189,-2492.090052863223,-2694.251263332671
Olfr120,-2547.662981812656,-2317.872614015325
Olfr121,-3372.5995912065746,-2740.845624363853
Olfr1217,-2417.357227893279,-2484.630903736869
Olfr122,-3542.786412431751,-2627.2917851035513
Olfr1229,-4222.876533487056,-3403.5967246177674
Olfr1250,-2873.884749999999,-3044.2257933868564
Olfr1252,-3258.3707594282137,-2957.047147493866
Olfr1260,-3916.6824999999967,-3559.0290585399075
Olfr1288,-3462.148968133384,-3043.8556749412637
Olfr129,-2840.827591801251,-2374.439293529123
Olfr1295,-3394.209935963615,-2840.4133124669097
Olfr1299,-3248.3400385458585,-3022.680167217023
Olfr1318,-3190.2926308454203,-2742.192752797636
Olfr1356,-1647.4801473147704,-2402.0135280398354
Olfr1364,-2980.801345441461,-3569.321887729852
Olfr1384,-3897.8679299755167,-3480.9335713588025
Olfr1420,-3244.263499936167,-3219.2794662382767
Olfr1428,-3358.0739549313544,-2901.4967493814584
Olfr1501,-2369.4494922196754,-2248.0621203196406
Olfr16,-1582.8344546492553,-1356.120917534428
Olfr212,-3582.3738164869064,-3267.5845488252444
Olfr309,-3017.563583207259,-2658.9518728995818
Olfr350,-1496.4980359144827,-1708.4543695274392
Olfr360,-3053.9001316686267,-2772.010735787806
Olfr376,-533.982306701444,-1159.4127794786034
Olfr414,-3611.981467636194,-3324.178788054972
Olfr464,-2526.672555897995,-2557.996428221066
Olfr47,-2298.43683266007,-2380.4101979339
Olfr479,-2193.5634466118204,-2578.6850430325094
Olfr481,-1317.91070051075,-1648.2197355363048
Olfr491,-2972.8247026702074,-3366.2051817943757
Olfr55,-2947.19001768122,-3054.634494737642
Olfr578,-411.14520178402176,-728.4735755391346
Olfr592,-141.497102470033,-1271.0776651162423
Olfr598,-1136.3785586360302,-1104.2524468100203
Olfr640,-528.1408910423535,-1269.9426495925356
Olfr654,-739.0293926443172,-786.2142505034884
Olfr672,-1178.3192273907803,-1033.303075028461
Olfr722,-3531.4995663008876,-3353.9582659236903
Olfr723,-3554.569266507634,-3184.4040842549507
Olfr727,-3476.361932481338,-3760.746412452362
Olfr728,-4258.453653147528,-3842.475967112877
Olfr73,-988.9525323840402,-1308.6128772308873
Olfr745,-1414.49207881126,-1162.7999324676255
Olfr771,-2900.393914516157,-3098.1590148655346
Olfr78,-380.6590934567299,-773.4184134365707
Olfr784,-2223.375882525666,-2820.0977752167973
Olfr788,-2816.976604288289,-2958.0010112773903
Olfr791,-2116.8330379270624,-2004.6416509363796
Olfr798,-2057.5725418067304,-1786.0693937883289
Olfr804,-2709.3358733813297,-2273.1955717869814
Olfr910,-1513.2627168672611,-2556.212847182005
Olfr963,-1802.968852903661,-1248.756896706361
Olfr969,-1247.4043896247097,-1190.956294677047
Olfr987,-1300.957420699804,-1615.1536628366948
