"","x","y","pair","set","type","OR","ML","group"
"1",692.053061604328,-1218.72229893889,1,1,16,"Olfr273","L","pre"
"2",1055.80196678329,-1938.55210836689,2,1,16,"Olfr417","L","pre"
"3",832.109442607416,-1087.64110967107,3,2,16,"Olfr24","L","pre"
"4",1168.13199054393,-1869.75454892887,4,2,16,"Olfr1494","L","pre"
"5",1855.53742231203,-2160.48803093976,5,3,16,"Olfr12","L","pre"
"6",1716.71759150634,-2194.11092610285,6,3,16,"Olfr124","L","pre"
"7",1677.10386841434,-2366.71100988793,7,3,16,"Olfr1226","L","pre"
"8",750,-1650,1,1,1,"Olfr273","L","obs"
"9",925,-2175,2,1,1,"Olfr417","L","obs"
"10",975,-1125,3,2,1,"Olfr24","L","obs"
"11",1230,-1890,4,2,1,"Olfr1494","L","obs"
"12",1700,-2100,5,3,1,"Olfr12","L","obs"
"13",1750,-2250,6,3,1,"Olfr124","L","obs"
"14",1850,-2550,7,3,1,"Olfr1226","L","obs"
"15",1138.79435148142,-1499.55586233729,1,2,16,"Olfr129","R","pre"
"16",1119.25891650647,-1649.76419032709,2,2,16,"Olfr1222","R","pre"
"17",1168.13199054393,-1869.75454892887,3,2,16,"Olfr1494","R","pre"
"18",1604.45249541167,-1597.70570035202,4,3,16,"Olfr136","R","pre"
"19",1829.61145022242,-2012.43230933548,5,3,16,"Olfr60","R","pre"
"20",1855.53742231203,-2160.48803093976,6,3,16,"Olfr12","R","pre"
"21",1716.71759150634,-2194.11092610285,7,3,16,"Olfr124","R","pre"
"23",1210,-1830,1,2,1,"Olfr129","R","obs"
"24",1220,-1860,2,2,1,"Olfr1222","R","obs"
"25",1230,-1890,3,2,1,"Olfr1494","R","obs"
"26",1475,-1425,4,3,1,"Olfr136","R","obs"
"27",1700,-2100,5,3,1,"Olfr60","R","obs"
"28",1710,-2130,6,3,1,"Olfr12","R","obs"
"29",1750,-2250,7,3,1,"Olfr124","R","obs"
