"OR","slide","ML","DV","AP","mouse"
"Olfr360",3,108.230357998033,-2075.3828681568,390,1
"Olfr487",3,-376.445453032546,-288.340488164988,390,1
"Olfr771",3,641.864569544745,-1887.72194894323,390,1
"Olfr855",3,-378.63478959924,-621.769700289388,390,1
"Olfr99",4,-371.314439423938,-744.842624394769,520,1
"Olfr1420",5,-225.023202413306,-2274.32567885351,650,1
"Olfr654",6,-233.498699824003,-940.064452016485,780,1
"Olfr784",6,-81.1706800322201,-1560.93763154929,780,1
"Olfr788",6,-129.46178181362,-1939.69765644294,780,1
"Olfr791",6,-48.4073239245476,-1511.67974574461,780,1
"Olfr798",6,-98.2841942614108,-1490.14606175825,780,1
"Olfr1318",6,-41.4763065962212,-2210.88147960659,780,1
"Olfr1428",6,91.5376037456384,-2346.11416116061,780,1
"Olfr121",7,-69.1654279727159,-2388.48889426803,910,1
"Olfr683",7,-403.930272620504,-12.9077420521795,910,1
"Olfr1000",7,-294.35979504845,-1345.70531833707,910,1
"Olfr16",9,-191.65273116551,-1119.6929696837,1170,1
"Olfr118",9,-161.764562116664,-1842.16688777868,1170,1
"Olfr129",9,-220.910277413951,-1946.9007162313,1170,1
"Olfr464",9,-191.76789608043,-1698.29282162828,1170,1
"Olfr640",9,-425.924302721114,-694.196371135415,1170,1
"Olfr1030",9,-278.573879629944,-954.469970656816,1170,1
"Olfr1031",9,-328.975591238234,-875.575949893095,1170,1
"Olfr1189",9,-147.216091746372,-1700.44159004807,1170,1
"Olfr1288",9,225.439070034496,-2572.05995199749,1170,1
"Olfr1357",9,-361.559716419962,-912.923150154846,1170,1
"Olfr414",10,166.134490307275,-2575.82687856217,1300,1
"Olfr578",10,-449.202730429313,-584.013572616515,1300,1
"Olfr722",10,217.644191403231,-2519.67557692777,1300,1
"Olfr987",10,-308.470443747843,-982.449697611327,1300,1
"Olfr1018",10,-177.722152222887,-1862.79361259457,1300,1
"Olfr1045",10,-669.899401972922,-1155.06003490131,1300,1
"Olfr120",11,-402.541980823764,-1709.25997530163,1430,1
"Olfr745",11,-403.001991535314,-966.617298581686,1430,1
"Olfr723",12,2.6462285226318,-2683.236679122,1560,1
"Olfr1110",12,-138.89817504495,-2222.71401599246,1560,1
"Olfr1295",12,-47.8698671859259,-2488.62798835867,1560,1
"Olfr309",13,-151.295121605587,-2080.89728938056,1690,1
"Olfr350",13,-437.853761485998,-918.351179271859,1690,1
"Olfr1501",13,-280.93527227711,-1501.93669166991,1690,1
"Olfr491",15,-52.6426464300425,-2016.44302684556,1950,1
"Olfr727",15,187.218221450412,-2615.5569641786,1950,1
"Olfr1299",15,80.3716035593496,-2325.50797330337,1950,1
"Olfr1477",17,-199.094318783666,-1141.31355121392,2210,1
