"","X","OR","slide","ML","DV","AP"
"1",1,"Olfr1356",1,-365.575994876887,-1647.48014731477,4000
"2",3,"Olfr566",4,-466.413456220842,129.608078160742,16000
"3",4,"Olfr592",4,-754.83056915826,-141.497102470033,16000
"4",6,"Olfr804",5,-737.685342698094,-2709.33587338133,20000
"5",7,"Olfr822",5,-691.624559604298,-1469.83876698665,20000
"6",8,"Olfr78",6,-678.854518981764,-380.65909345673,24000
"7",9,"Olfr672",6,-720.74676381005,-1178.31922739078,24000
"8",10,"Olfr598",8,-1278.68803739567,-1136.37855863603,32000
"9",11,"Olfr798",8,-995.654314944926,-2027.44090353465,32000
"10",12,"Olfr791",9,-1205.24077788685,-2090.81227759053,36000
"11",14,"Olfr1030",9,-1015.99616442762,-1303.24141259629,36000
"12",17,"Olfr1357",9,-820.505512538381,-1131.51335068985,36000
"13",22,"Olfr481",10,-788.401648609974,-1317.91070051075,40000
"14",26,"Olfr433",11,-604.95533497704,-732.280052579043,44000
"15",27,"Olfr479",11,-1102.51699736632,-2193.56344661182,44000
"16",29,"Olfr771",11,-1264.21787469963,-2911.25739727965,44000
"17",30,"Olfr969",11,-930.788371029645,-1247.40438962471,44000
"18",31,"Olfr987",11,-1165.85977717573,-1227.22690664223,44000
"19",32,"Olfr1000",11,-1674.09422825403,-1967.99954314222,44000
"20",33,"Olfr1048",11,-807.635396289451,-1108.75196903705,44000
"21",35,"Olfr73",12,-1608.61767969702,-988.95253238404,48000
"22",36,"Olfr517",12,-1014.57693770822,-1618.2262827959,48000
"23",38,"Olfr963",12,-1201.11206252383,-1802.96885290366,48000
"24",39,"Olfr994",12,-1285.58896853686,-550.261910090345,48000
"25",40,"Olfr1086",12,-1155.86622407034,-311.059204280948,48000
"26",43,"Olfr55",13,-1247.15018173906,-2947.19001768122,52000
"27",48,"Olfr749",13,-1079.53627426786,-1835.34843150787,52000
"28",49,"Olfr1123",13,-1176.18720428293,-3356.90535809123,52000
"29",51,"Olfr1252",13,-1282.77894070973,-3258.37075942821,52000
"30",54,"Olfr1420",13,-1183.24414536797,-3246.33800022461,52000
"31",55,"Olfr1424",13,-962.478594599095,-3600.50303031391,52000
"32",56,"Olfr1428",13,-1048.38479399912,-3345.14649635425,52000
"33",57,"Olfr47",14,-1782.28657868404,-2298.43683266007,56000
"34",58,"Olfr376",14,-624.186290934593,-533.982306701444,56000
"35",60,"Olfr1384",14,-391.397378023525,-3897.86792997553,56000
"36",61,"Olfr1189",15,-1739.88396599571,-2444.89699416542,60000
"37",62,"Olfr1217",15,-1199.58455354261,-2417.35722789328,60000
"38",63,"Olfr1250",15,-1098.532,-2873.88475,60000
"39",64,"Olfr1260",15,164.7982925,-3916.6825,60000
"40",66,"Olfr1496",15,-1040.56161156217,-1172.13463949584,60000
"41",67,"Olfr122",16,-190.969569037807,-3542.78641243175,64000
"42",70,"Olfr1364",16,-462.912286226699,-2980.80134544146,64000
"43",71,"Olfr212",17,-1067.8926394444,-3582.3738164869,68000
"44",73,"Olfr1013",17,-1149.47353909129,-1449.52995198871,68000
"45",74,"Olfr1229",17,-541.492220867682,-4222.87653348706,68000
"46",75,"Olfr309",18,-1258.97095891757,-3021.07583841567,72000
"47",76,"Olfr414",18,-1276.4717657201,-3695.77201385117,72000
"48",77,"Olfr722",18,-1108.91455666186,-3575.56846546369,72000
"49",78,"Olfr728",18,-577.480177235532,-4258.45365314752,72000
"50",79,"Olfr1288",18,-1831.12157077963,-3370.58663526673,72000
