""	"OR"	"Slide"	"Average"	"ML"	"DV"	"AP"	"side"
"1"	"Olfr1356"	1	5	-365.575994876887	-1647.48014731477	4000	"Same"
"3"	"Olfr566"	4	4	-466.413456220842	129.608078160742	16000	"Same"
"4"	"Olfr592"	4	4.5	-754.83056915826	-141.497102470033	16000	"Opposite"
"6"	"Olfr804"	5	4.25	-737.685342698094	-2709.33587338133	20000	"Same"
"7"	"Olfr822"	5	4.25	-691.624559604298	-1469.83876698665	20000	"Same"
"8"	"Olfr78"	6	4	-678.854518981764	-380.65909345673	24000	"Same"
"9"	"Olfr672"	6	4.75	-720.74676381005	-1178.31922739078	24000	"Same"
"10"	"Olfr598"	8	4.25	-1278.68803739567	-1136.37855863603	32000	"Opposite"
"11"	"Olfr798"	8	4.75	-995.654314944926	-2027.44090353465	32000	"Same"
"12"	"Olfr791"	9	4.75	-1205.24077788685	-2090.81227759053	36000	"Same"
"14"	"Olfr1030"	9	4.5	-1015.99616442762	-1303.24141259629	36000	"Same"
"17"	"Olfr1357"	9	4.5	-820.505512538381	-1131.51335068985	36000	"Same"
"22"	"Olfr481"	10	4	-788.401648609974	-1317.91070051075	40000	"Same"
"26"	"Olfr433"	11	4.5	-604.95533497704	-732.280052579043	44000	"Same"
"27"	"Olfr479"	11	5	-1102.51699736632	-2193.56344661182	44000	"Same"
"29"	"Olfr771"	11	4.25	-1264.21787469963	-2911.25739727965	44000	"Same"
"30"	"Olfr969"	11	4	-930.788371029645	-1247.40438962471	44000	"Same"
"31"	"Olfr987"	11	4	-1165.85977717573	-1227.22690664223	44000	"Opposite"
"32"	"Olfr1000"	11	5	-1674.09422825403	-1967.99954314222	44000	"Opposite"
"33"	"Olfr1048"	11	4.5	-807.635396289451	-1108.75196903705	44000	"Same"
"35"	"Olfr73"	12	4	-1608.61767969702	-988.95253238404	48000	"Opposite"
"36"	"Olfr517"	12	4.75	-1014.57693770822	-1618.2262827959	48000	"Same"
"38"	"Olfr963"	12	4	-1201.11206252383	-1802.96885290366	48000	"Same"
"39"	"Olfr994"	12	5	-1285.58896853686	-550.261910090345	48000	"Opposite"
"40"	"Olfr1086"	12	4.25	-1155.86622407034	-311.059204280948	48000	"Opposite"
"43"	"Olfr55"	13	4.75	-1247.15018173906	-2947.19001768122	52000	"Same"
"48"	"Olfr749"	13	5	-1079.53627426786	-1835.34843150787	52000	"Same"
"49"	"Olfr1123"	13	4.75	-1176.18720428293	-3356.90535809123	52000	"Same"
"51"	"Olfr1252"	13	4.5	-1282.77894070973	-3258.37075942821	52000	"Same"
"54"	"Olfr1420"	13	4.5	-1183.24414536797	-3246.33800022461	52000	"Same"
"55"	"Olfr1424"	13	4.75	-962.478594599095	-3600.50303031391	52000	"Same"
"56"	"Olfr1428"	13	5	-1048.38479399912	-3345.14649635425	52000	"Same"
"57"	"Olfr47"	14	4.5	-1782.28657868404	-2298.43683266007	56000	"Opposite"
"58"	"Olfr376"	14	4.25	-624.186290934593	-533.982306701444	56000	"Same"
"60"	"Olfr1384"	14	4.25	-391.397378023525	-3897.86792997553	56000	"Same"
"61"	"Olfr1189"	15	4.25	-1739.88396599571	-2444.89699416542	60000	"Opposite"
"62"	"Olfr1217"	15	5	-1199.58455354261	-2417.35722789328	60000	"Same"
"63"	"Olfr1250"	15	5	-1098.532	-2873.88475	60000	"Same"
"64"	"Olfr1260"	15	5	164.7982925	-3916.6825	60000	"Same"
"66"	"Olfr1496"	15	4.75	-1040.56161156217	-1172.13463949584	60000	"Opposite"
"67"	"Olfr122"	16	4	-190.969569037807	-3542.78641243175	64000	"Same"
"70"	"Olfr1364"	16	5	-462.912286226699	-2980.80134544146	64000	"Same"
"71"	"Olfr212"	17	4.5	-1067.8926394444	-3582.3738164869	68000	"Same"
"73"	"Olfr1013"	17	4.75	-1149.47353909129	-1449.52995198871	68000	"Opposite"
"74"	"Olfr1229"	17	4	-541.492220867682	-4222.87653348706	68000	"Same"
"75"	"Olfr309"	18	5	-1258.97095891757	-3021.07583841567	72000	"Same"
"76"	"Olfr414"	18	4.75	-1276.4717657201	-3695.77201385117	72000	"Same"
"77"	"Olfr722"	18	4.5	-1108.91455666186	-3575.56846546369	72000	"Same"
"78"	"Olfr728"	18	4.75	-577.480177235532	-4258.45365314752	72000	"Same"
"79"	"Olfr1288"	18	5	-1831.12157077963	-3370.58663526673	72000	"Opposite"
