""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"summary"
"Stoml3"	381.619252448722	9273.6351984226	535.425916843833	386.043201843825	80.045717479168	118.670444229644	0.596692245522326	178.875415198592	5.32565694310019	7.07055588105221	10.1360546577845	3.5199307048887	6.34580068248716	0.0653580275713528	5.55747599702587	44.0277956632569	2.25764001621581	2.99783914238895	15.1110563757383	6.78613943221702	1.46683531823421	0.0385105161399655	0.51492803860745	8.39357296357082	10.1383993669	29.2050585891889	0.077437902402641	3.63462767870336	1.9185702407185	0.0599639734869672	0.117808909352372	0.197902978305685	0.399913883491304	1.98496661391642	2.4844641316704	1.21936447276406	0.346300453938645	0.961154772547217	0.487832910810981	2.60310633867941	0.173156700071875	1.31689994460442	0.049840218511143	0.831428137815074	1.71195670314377	1.23258663800409	1.61810937303811	1.4072540651944	11138.7050940694
"Tmsb4x"	1437.33709082672	8288.31650860802	88.121492933367	536.075160720862	122.368749616767	7.73231067709395	3.76872389720445	17.8602760846563	0.552475125233262	32.9312811575008	54.7212613439815	18.3654207893407	9.91572476142276	0.108227813819809	14.4505805162957	13.6434018485565	6.27038023021478	3.73500719109327	4.03825068243746	2.44899359115693	0.553689263563619	1.18877621798879	0.0566684873972661	7.21617114175359	6.90700657666201	15.2260723328927	0.090857989763981	2.40117093749498	3.38421196391514	0.0139337368466402	1.54601726819248	1.911452633001	8.0214905122179	1.62484959655374	8.87714874592609	0.391916554086178	0.580358185704929	0.849247721257058	0.30345556660021	1.90516997500524	0.250760113357117	0.115205656894318	0.199658861017569	4.95694835425801	0.266765727593608	2.9235006374547	4.06726856725087	0.290791881028566	10738.8818836214
"Cd55"	1174.32352305757	7582.66583189057	190.923305145728	900.90001128776	140.399093230403	70.8436376944853	5.70715029118992	129.414484261039	0.176572935836163	2.57593610046954	32.1472528074482	0.17502186101438	5.35574795236619	0.0202666676171003	1.03370092411593	85.4990842957438	7.09153122296683	9.33899192494155	7.30274499717345	0.741411140520756	1.42770811854097	0.234395571229265	0.450120182378135	28.0670880603282	2.34474279139393	28.1191160576973	0.085127074858322	4.26700160581348	0.580952718999556	2.50487125036554	1.89959047183763	0.0928379497460336	1.74415718006418	0.410757529678788	2.03589753696207	0.344379134733174	0.5009755416695	0.502555028470905	0.674932417031168	2.82902495982629	0.694550995271052	0.0610713237825046	0.977288575666224	3.1760632900226	0.987062650316487	0.552380060214494	0.0567720986046719	0.0154979905712261	10432.272217855
"Cartpt"	748.555579408242	7187.13638205736	570.531294785499	1449.65717159262	19.1469053936371	86.1983668375813	3.08682023622832	16.2149596818763	1.84821773798814	15.4342704443038	4.21762990633593	6.11820587429909	13.6365555707355	0.0663775241005686	12.5960913177386	2.08020272539601	1.38198130975909	0.899249663764698	0.156453992355471	0.934722922552619	1.11807992452235	0.24355156767546	0.365669130854745	8.07489211136159	10.9895439944217	18.8001387448828	0.0507406758051885	2.96830719866367	5.31968838413907	0.858830542741938	0.896993255270573	10.563458476185	7.13956245123323	2.49244703197717	1.66415472907418	1.10140935310642	0.253172348845201	2.33336936227413	1.66297609734134	1.61367652015667	1.77922748101729	0.231179865188325	0.885258494756441	3.18917499692519	2.65485879370564	1.23084698078274	2.94717764528992	0.165592832967669	10231.4914179735
"Cidea"	1023.15230354867	7665.14934600877	225.751422169604	530.528569106503	154.218283439415	59.6168525940027	2.24766502721682	1.14844158485723	4.68294421429911	8.58660901512171	0.414198661219886	6.52375066251876	2.43352052483162	0.422644824034223	9.70829129709466	39.1827681513811	2.0473969779167	2.35991517370411	10.3334620871122	2.2764183282763	2.20356053294133	1.42874595444288	0.0923511466792351	10.085301297171	2.59883651101641	6.77436195788987	0.00100725077740101	4.75329129600778	3.4690067521557	1.81898426266086	0.193279883074262	3.10622199962621	13.6542139305767	0.399079490556066	12.9116736982867	1.44500955450267	0.866625944663584	2.75703464847331	1.19554912077554	7.05630959541804	0.946572615299983	1.61793170542213	0.516087734094424	3.15962407679173	2.75420069573224	3.33004669497999	1.27034548468664	0.680617163375879	9841.87067439463
"Rtn1"	972.392258707331	7091.71449325927	677.847923595381	643.424651865501	25.003326977359	104.425523428648	4.27342828677352	23.9998717508416	1.87828084601852	15.0577687456894	44.32508468508	9.00614174131511	18.3428362838569	0.240321395584694	6.649739006961	3.12103070174042	13.115266708243	4.12310289066246	20.3824513262308	6.63643789639845	0.105785800498581	0.150524055076982	0.660892472474576	0.901845612835511	0.202090234174239	16.9205763293784	0.0800244425528021	5.95936878174186	0.0468423028801646	2.30556896239123	1.17407204852254	0.875306315970301	20.0027938492674	0.204597262580499	4.56347382569203	4.51047113085286	2.0876939024938	1.2226786060832	0.627180424998291	2.94170133654185	1.13671614029009	1.22167679521424	0.178593231711297	2.89283354897247	0.665357080297433	0.475139258903717	3.74861051256673	0.31707829580025	9762.13943265965
"Mslnl"	768.24624486081	7312.19777859163	2.25282654612415	921.487214611747	6.58573794774133	120.524134539099	2.19142039684205	62.8328796538947	1.62295367179619	3.5293501121471	33.1258926235325	1.33712477451871	8.19992387952139	0.139535093794299	7.42341504474729	20.3207684220232	18.0144818989183	8.31499775860432	10.4103589681406	0.114922320554933	1.19099280756359	1.26946048857319	0.095587650901148	17.8650542559305	2.3908352680052	17.8372725460519	0.0326248244290003	1.22641204629784	3.13496006388115	0.510440671838203	0.949932644938129	5.01258442962391	1.61967228941653	2.29385207143262	0.363832740933579	0.998104342016624	3.20492291472021	0.83212132151564	0.32846746906784	5.22701685366978	1.16730819546454	0.907245996087785	0.173599569061213	1.19307540821827	0.757547016217086	0.519816542438858	1.16912001665855	0.738236535609934	9381.88205869674
"Cd9"	984.10157021587	7008.45394405999	51.2816394074764	532.037038315933	6.41008249371506	111.551814915312	3.6204864391468	29.8008144059893	2.52154244372156	3.40164669311561	15.0993946843762	5.6413366571091	0.36883462495229	0.626718320356738	19.138526543949	14.7101803347949	11.2275468140285	2.46573131319069	6.63198709121451	0.540290205486208	2.48753167056561	1.37625831106052	0.224913763503472	16.404975382165	11.6381206744366	12.37003522554	0.230594034798573	2.64710909992084	8.79810734334977	4.38273223556149	0.623476906201946	4.042703052493	6.49839087948313	3.89314553857559	0.714857160493158	2.893606495751	0.607972955570854	1.32130985211779	0.573270279812186	1.70242609512397	0.0159899701334005	2.92245864341908	0.143390550678495	3.29314689328177	1.17629965405387	4.26856244141428	2.76400302188904	0.498220982218886	8908.14473509334
"Snca"	1240.95459731902	5956.59998357891	469.221884735127	635.109602001946	13.5351005760539	87.0158771176564	0.108465447127626	13.9682458267592	1.13290833217029	21.7729030591417	26.4027057728211	27.2304443077607	10.0153231897869	0.415160018303317	1.59249124296567	49.2938712889417	8.34562455734148	2.39789967430243	19.3786472741979	3.52008968912338	0.390546259528091	0.845234382057745	0.488385800727801	5.11244930374861	3.19511910174378	4.77521440154353	0.0532511390952225	0.689092432227336	1.54919880795666	0.186248680987997	0.47955303924266	5.13469608097548	4.46505537204851	1.44778342915255	5.70519977500335	1.12695901282695	0.718354329420803	0.0598566015723492	0.488554394062684	0.764064655089592	0.27087920193704	2.28138580585924	0.766179298110463	0.471686775181438	0.529451101721979	1.77289939906598	3.05566144670668	1.27494835793298	8636.10973339499
"Tuba4a"	882.801035937547	6520.02823461165	26.3438522117703	270.823229724111	83.4663928332688	61.9489516740514	3.86451588631612	115.112774494788	4.83273522267048	6.12322615962848	15.5286749670153	15.3183723115055	9.10698725605933	0.202804040646023	7.39014495102518	27.4992600207669	11.220459529153	8.74494593777912	24.0262934812393	1.70017143889618	0.733364060047549	0.33325797038643	0.439501167064378	12.6214062225525	0.776188201741299	12.0691638324458	0.0269302341006589	1.09163748142976	0.388493040076465	0.441914169121769	0.903816538374418	2.52614924338444	2.72927420123633	2.86946847153278	0.455180297511089	4.42462817171414	0.459032541231786	0.326067442274425	1.09244397645104	2.33975864225246	0.11995542216066	1.94462818704487	0.196291269635827	0.296576262080254	2.71098884136924	0.142046338350243	2.90479092301458	0.667869516831317	8152.11388535531
