"" "OR" "cell" "type" "x" "y"
"9" "Olfr309" 159 "slide-seq" 17.9612733375826 -3017.56358320726
"29" "Olfr1110" 105 "slide-seq" 17.8434415898986 -3149.88002580485
"40" "Olfr1356" 8 "slide-seq" 1 -1647.48014731477
"52" "Olfr728" 272 "slide-seq" 18 -4258.45365314752
"54" "Olfr212" 70 "slide-seq" 17 -3582.3738164869
"67" "Olfr1018" 23 "slide-seq" 15.4501627083514 -2759.68127088075
"71" "Olfr672" 30 "slide-seq" 6 -1178.31922739078
"73" "Olfr479" 30 "slide-seq" 11 -2193.56344661182
"85" "Olfr1299" 13 "slide-seq" 19.4564667657742 -3248.34003854586
"89" "Olfr1135" 14 "slide-seq" 15.4639630505273 -1622.5950352776
"103" "Olfr745" 14 "slide-seq" 11.772290295191 -1414.49207881126
"111" "Olfr969" 23 "slide-seq" 11 -1247.40438962471
"120" "Olfr788" 59 "slide-seq" 12.5034997868248 -2816.97660428829
"131" "Olfr727" 179 "slide-seq" 20.0888113671873 -3476.36193248134
"144" "Olfr1189" 16 "slide-seq" 14.5023898853073 -2492.09005286322
"156" "Olfr1420" 50 "slide-seq" 13.1384886329064 -3244.26349993617
"163" "Olfr592" 18 "slide-seq" 4 -141.497102470033
"168" "Olfr1428" 56 "slide-seq" 13.8566657369596 -3358.07395493136
"174" "Olfr1384" 131 "slide-seq" 14 -3897.86792997553
"177" "Olfr16" 17 "slide-seq" 10.6874959001397 -1582.83445464926
"192" "Olfr1229" 116 "slide-seq" 17 -4222.87653348706
"215" "Olfr1252" 85 "slide-seq" 13 -3258.37075942821
"222" "Olfr47" 10 "slide-seq" 14 -2298.43683266007
"235" "Olfr360" 16 "slide-seq" 10.1774993545712 -3053.90013166863
"244" "Olfr1217" 26 "slide-seq" 15 -2417.35722789328
"255" "Olfr1318" 22 "slide-seq" 13.9925406583831 -3190.29263084542
"258" "Olfr1030" 34 "slide-seq" 9.20522151554655 -1258.93618817432
"270" "Olfr73" 12 "slide-seq" 12 -988.95253238404
"279" "Olfr1250" 32 "slide-seq" 15 -2873.88475
"310" "Olfr784" 26 "slide-seq" 10.1358121623671 -2223.37588252567
"318" "Olfr798" 9 "slide-seq" 8.79733008700459 -2057.57254180673
"326" "Olfr414" 51 "slide-seq" 18.0032162550877 -3611.98146763619
"330" "Olfr722" 78 "slide-seq" 17.9354264706228 -3531.49956630089
"339" "Olfr654" 10 "slide-seq" 4.21521825866776 -739.029392644317
"349" "Olfr1295" 30 "slide-seq" 18.5953664479041 -3394.20993596361
"364" "Olfr350" 7 "slide-seq" 13.4184848196087 -1496.49803591448
"369" "Olfr1260" 80 "slide-seq" 15 -3916.6825
"389" "Olfr578" 16 "slide-seq" 7.63830006263971 -411.145201784022
"403" "Olfr723" 20 "slide-seq" 19.0888719985377 -3554.56926650763
"407" "Olfr771" 34 "slide-seq" 10.2011888319902 -2900.39391451616
"435" "Olfr640" 10 "slide-seq" 7.02946583071201 -528.140891042354
"444" "Olfr129" 25 "slide-seq" 15.0506368935275 -2840.82759180125
"469" "Olfr491" 25 "slide-seq" 18.6924145414874 -2972.82470267021
"483" "Olfr120" 14 "slide-seq" 15.3944714484752 -2547.66298181266
"485" "Olfr1123" 29 "slide-seq" 13 -3356.90535809123
"508" "Olfr55" 71 "slide-seq" 13 -2947.19001768122
"510" "Olfr804" 12 "slide-seq" 5 -2709.33587338133
"513" "Olfr791" 21 "slide-seq" 9.40731737617259 -2116.83303792706
"536" "Olfr121" 30 "slide-seq" 15.5207069512571 -3372.59959120658
"546" "Olfr122" 24 "slide-seq" 16 -3542.78641243175
"548" "Olfr1045" 21 "slide-seq" 11.5764443068475 -1595.09763698266
"551" "Olfr464" 15 "slide-seq" 13.9610421453941 -2526.67255589799
"555" "Olfr376" 9 "slide-seq" 14 -533.982306701444
"571" "Olfr987" 9 "slide-seq" 10.9216511770988 -1300.9574206998
"573" "Olfr1364" 73 "slide-seq" 16 -2980.80134544146
"579" "Olfr481" 8 "slide-seq" 10 -1317.91070051075
"600" "Olfr963" 14 "slide-seq" 12 -1802.96885290366
"602" "Olfr910" 11 "slide-seq" 15.1702777684449 -1513.26271686726
"606" "Olfr1048" 10 "slide-seq" 11 -1108.75196903705
"610" "Olfr1013" 9 "slide-seq" 17 -1449.52995198871
"625" "Olfr1501" 21 "slide-seq" 16.0093838520218 -2369.44949221968
"657" "Olfr1288" 17 "slide-seq" 17.7615780269096 -3462.14896813338
"693" "Olfr598" 9 "slide-seq" 8 -1136.37855863603
"705" "Olfr78" 7 "slide-seq" 6 -380.65909345673
