"seqnames"	"start"	"end"	"width"	"strand"	"source"	"type"	"score"	"phase"	"gene_id"	"gene_type"	"gene_name"	"level"	"mgi_id"	"havana_gene"	"OR_cluster"	"midpoint"	"Class"
"1"	"chr1"	92571322	92574397	3076	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000058904.3"	"protein_coding"	"Olfr1413"	2	"MGI:3031247"	"OTTMUSG00000048563.2"	"OR-Cluster-1"	92572859.5	"II"
"2"	"chr1"	92585779	92591375	5597	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000046300.4"	"protein_coding"	"Olfr1412"	2	"MGI:3031246"	"OTTMUSG00000048566.4"	"OR-Cluster-1"	92588577	"II"
"3"	"chr1"	92594411	92597753	3343	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000062497.3"	"protein_coding"	"Olfr1411"	2	"MGI:3031245"	"OTTMUSG00000048567.4"	"OR-Cluster-1"	92596082	"II"
"4"	"chr1"	92605782	92614806	9025	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000063583.6"	"protein_coding"	"Olfr1410"	2	"MGI:3031244"	"OTTMUSG00000048568.3"	"OR-Cluster-1"	92610294	"II"
"5"	"chr1"	92617788	92623412	5625	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000061616.5"	"protein_coding"	"Olfr12"	2	"MGI:107863"	"OTTMUSG00000048569.2"	"OR-Cluster-1"	92620600	"II"
"6"	"chr1"	172950409	172958357	7949	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000037924.6"	"protein_coding"	"Olfr16"	2	"MGI:106648"	"OTTMUSG00000050161.3"	"OR-Cluster-2"	172954383	"II"
"7"	"chr1"	173149171	173150371	1201	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000066680.4"	"unprocessed_pseudogene"	"Olfr1407-ps1"	2	"MGI:3031241"	"OTTMUSG00000050164.3"	"OR-Cluster-2"	173149771	"II"
"8"	"chr1"	173197808	173206336	8529	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000046643.2"	"protein_coding"	"Olfr218"	2	"MGI:3030052"	"OTTMUSG00000050166.3"	"OR-Cluster-2"	173202072	"II"
"9"	"chr1"	173212392	173218583	6192	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000049456.3"	"protein_coding"	"Olfr1404"	2	"MGI:3031238"	"OTTMUSG00000050167.2"	"OR-Cluster-2"	173215487.5	"II"
"10"	"chr1"	173266001	173273994	7994	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000049605.3"	"protein_coding"	"Olfr418"	2	"MGI:3030252"	"OTTMUSG00000050169.2"	"OR-Cluster-2"	173269997.5	"II"
"11"	"chr1"	174040705	174044411	3707	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000045381.6"	"protein_coding"	"Olfr433"	2	"MGI:3030267"	"OTTMUSG00000050207.3"	"OR-Cluster-3"	174042558	"II"
"12"	"chr1"	174049205	174054752	5548	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000047048.4"	"protein_coding"	"Olfr432"	2	"MGI:3030266"	"OTTMUSG00000050208.3"	"OR-Cluster-3"	174051978.5	"II"
"13"	"chr1"	174051998	174052541	544	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000102603.2"	"unprocessed_pseudogene"	"Olfr431-ps1"	2	"MGI:3030265"	"OTTMUSG00000050209.2"	"OR-Cluster-3"	174052269.5	"II"
"14"	"chr1"	174066605	174072273	5669	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000050134.7"	"protein_coding"	"Olfr430"	2	"MGI:3030264"	"OTTMUSG00000050210.3"	"OR-Cluster-3"	174069439	"II"
"15"	"chr1"	174084331	174091343	7013	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000049528.7"	"protein_coding"	"Olfr429"	2	"MGI:3030263"	"OTTMUSG00000050211.5"	"OR-Cluster-3"	174087837	"II"
"16"	"chr1"	174094967	174095432	466	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000106975.1"	"unprocessed_pseudogene"	"Olfr428-ps1"	2	"MGI:3030262"	"OTTMUSG00000056178.1"	"OR-Cluster-3"	174095199.5	"II"
"17"	"chr1"	174096891	174103224	6334	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000059371.4"	"protein_coding"	"Olfr427"	2	"MGI:3030261"	"OTTMUSG00000050212.3"	"OR-Cluster-3"	174100057.5	"II"
"18"	"chr1"	174131517	174138257	6741	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000051528.4"	"protein_coding"	"Olfr424"	2	"MGI:3030258"	"OTTMUSG00000050215.3"	"OR-Cluster-3"	174134887	"II"
"19"	"chr1"	174140408	174143254	2847	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000102371.4"	"transcribed_unprocessed_pseudogene"	"Olfr258-ps1"	2	"MGI:3030092"	"OTTMUSG00000050216.4"	"OR-Cluster-3"	174141831	"II"
"20"	"chr1"	174151481	174152530	1050	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000091950.3"	"polymorphic_pseudogene"	"Olfr421-ps1"	2	"MGI:3030255"	"OTTMUSG00000042404.3"	"OR-Cluster-3"	174152005.5	"II"
"21"	"chr1"	174155633	174162195	6563	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000055033.4"	"protein_coding"	"Olfr420"	2	"MGI:3030254"	"OTTMUSG00000050217.2"	"OR-Cluster-3"	174158914	"II"
"22"	"chr1"	174365122	174374472	9351	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000066672.2"	"protein_coding"	"Olfr417"	2	"MGI:3030251"	"OTTMUSG00000050219.5"	"OR-Cluster-4"	174369797	"II"
"23"	"chr1"	174374547	174375683	1137	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000102920.1"	"unprocessed_pseudogene"	"Olfr416-ps1"	2	"MGI:3030250"	"OTTMUSG00000050220.1"	"OR-Cluster-4"	174375115	"II"
"24"	"chr1"	174391046	174392055	1010	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000059503.2"	"protein_coding"	"Olfr248"	2	"MGI:3030082"	"OTTMUSG00000050221.2"	"OR-Cluster-4"	174391550.5	"II"
"25"	"chr1"	174424064	174434747	10684	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000051509.6"	"protein_coding"	"Olfr414"	2	"MGI:3030248"	"OTTMUSG00000050222.2"	"OR-Cluster-4"	174429405.5	"II"
"26"	"chr1"	174442082	174451277	9196	"+"	"HAVANA"	"gene"	NA	NA	"ENSMUSG00000066671.4"	"protein_coding"	"Olfr220"	2	"MGI:3030054"	"OTTMUSG00000050223.3"	"OR-Cluster-4"	174446679.5	"II"
