"X" "chr" "start" "end" "strand" "gene.name" "center" "loci_group" "OR_cluster" "class"
"1" 55094 "chr1" 92475925 92485113 "-" "Olfr1416" 92480519 "chr1_2" "OR-Cluster-1" "II"
"2" 55110 "chr1" 92489101 92496101 "-" "Olfr1415" 92492601 "chr1_2" "OR-Cluster-1" "II"
"3" 55138 "chr1" 92506366 92518661 "-" "Olfr1414" 92512513.5 "chr1_2" "OR-Cluster-1" "II"
"4" 55157 "chr1" 92571322 92574397 "+" "Olfr1413" 92572859.5 "chr1_2" "OR-Cluster-1" "II"
"5" 55180 "chr1" 92585779 92591375 "+" "Olfr1412" 92588577 "chr1_2" "OR-Cluster-1" "II"
"6" 55199 "chr1" 92594411 92597753 "+" "Olfr1411" 92596082 "chr1_2" "OR-Cluster-1" "II"
"7" 55227 "chr1" 92605782 92614806 "+" "Olfr1410" 92610294 "chr1_2" "OR-Cluster-1" "II"
"8" 55254 "chr1" 92617788 92623412 "+" "Olfr12" 92620600 "chr1_2" "OR-Cluster-1" "II"
"9" 101107 "chr1" 172950409 172958357 "+" "Olfr16" 172954383 "chr1_1" "OR-Cluster-2" "II"
"10" 101132 "chr1" 173097997 173098248 "-" "Olfr1409-ps1" 173098122.5 "chr1_1" "OR-Cluster-2" "II"
"11" 101135 "chr1" 173128049 173137374 "-" "Olfr1408" 173132711.5 "chr1_1" "OR-Cluster-2" "II"
"12" 101152 "chr1" 173149171 173150371 "+" "Olfr1407-ps1" 173149771 "chr1_1" "OR-Cluster-2" "II"
"13" 101156 "chr1" 173181853 173190640 "-" "Olfr1406" 173186246.5 "chr1_1" "OR-Cluster-2" "II"
"14" 101188 "chr1" 173197808 173206336 "+" "Olfr218" 173202072 "chr1_1" "OR-Cluster-2" "II"
"15" 101213 "chr1" 173212392 173218583 "+" "Olfr1404" 173215487.5 "chr1_1" "OR-Cluster-2" "II"
"16" 101272 "chr1" 173266001 173273994 "+" "Olfr418" 173269997.5 "chr1_1" "OR-Cluster-2" "II"
"17" 102114 "chr1" 174040705 174044411 "+" "Olfr433" 174042558 "chr1_1" "OR-Cluster-3" "II"
"18" 102131 "chr1" 174049205 174054752 "+" "Olfr432" 174051978.5 "chr1_1" "OR-Cluster-3" "II"
"19" 102158 "chr1" 174051998 174052541 "+" "Olfr431-ps1" 174052269.5 "chr1_1" "OR-Cluster-3" "II"
"20" 102161 "chr1" 174066605 174072273 "+" "Olfr430" 174069439 "chr1_1" "OR-Cluster-3" "II"
"21" 102188 "chr1" 174084331 174091343 "+" "Olfr429" 174087837 "chr1_1" "OR-Cluster-3" "II"
"22" 102205 "chr1" 174094967 174095432 "+" "Olfr428-ps1" 174095199.5 "chr1_1" "OR-Cluster-3" "II"
"23" 102208 "chr1" 174096891 174103224 "+" "Olfr427" 174100057.5 "chr1_1" "OR-Cluster-3" "II"
"24" 102224 "chr1" 174110900 174111353 "+" "Olfr1528-ps1" 174111126.5 "chr1_1" "OR-Cluster-3" "II"
"25" 102227 "chr1" 174113211 174121162 "-" "Olfr231" 174117186.5 "chr1_1" "OR-Cluster-3" "II"
"26" 102243 "chr1" 174131517 174138257 "+" "Olfr424" 174134887 "chr1_1" "OR-Cluster-3" "II"
"27" 102259 "chr1" 174140408 174143254 "+" "Olfr258-ps1" 174141831 "chr1_1" "OR-Cluster-3" "II"
"28" 102265 "chr1" 174151481 174152530 "+" "Olfr421-ps1" 174152005.5 "chr1_1" "OR-Cluster-3" "II"
"29" 102273 "chr1" 174155633 174162195 "+" "Olfr420" 174158914 "chr1_1" "OR-Cluster-3" "II"
"30" 102428 "chr1" 174248514 174252061 "-" "Olfr419" 174250287.5 "chr1_1" "OR-Cluster-4" "II"
"31" 102455 "chr1" 174365122 174374472 "+" "Olfr417" 174369797 "chr1_1" "OR-Cluster-4" "II"
"32" 102480 "chr1" 174374547 174375683 "+" "Olfr416-ps1" 174375115 "chr1_1" "OR-Cluster-4" "II"
"33" 102484 "chr1" 174391046 174392055 "+" "Olfr248" 174391550.5 "chr1_1" "OR-Cluster-4" "II"
"34" 102492 "chr1" 174424064 174434747 "+" "Olfr414" 174429405.5 "chr1_1" "OR-Cluster-4" "II"
"35" 102508 "chr1" 174442082 174451277 "+" "Olfr220" 174446679.5 "chr1_1" "OR-Cluster-4" "II"
"36" 1065166 "chr10" 78517428 78520566 "+" "Olfr1358" 78518997 "chr10_2" NA "II"
"37" 1065454 "chr10" 78611003 78618074 "-" "Olfr1357" 78614538.5 "chr10_2" "OR-Cluster-5" "II"
"38" 1065613 "chr10" 78845052 78852166 "-" "Olfr1356" 78848609 "chr10_2" "OR-Cluster-6" "II"
"39" 1065629 "chr10" 78875540 78882266 "+" "Olfr1355" 78878903 "chr10_2" "OR-Cluster-6" "II"
"40" 1065639 "chr10" 78913171 78920399 "+" "Olfr1354" 78916785 "chr10_2" "OR-Cluster-6" "II"
"41" 1065664 "chr10" 78950636 78958378 "+" "Olfr8" 78954507 "chr10_2" "OR-Cluster-6" "II"
"42" 1065693 "chr10" 78963309 78971338 "+" "Olfr1353" 78967323.5 "chr10_2" "OR-Cluster-6" "II"
"43" 1065725 "chr10" 78981050 78987903 "+" "Olfr1352" 78984476.5 "chr10_2" "OR-Cluster-6" "II"
"44" 1065742 "chr10" 79012472 79019645 "+" "Olfr1351" 79016058.5 "chr10_2" "OR-Cluster-6" "II"
"45" 1065758 "chr10" 79028741 79036274 "+" "Olfr57" 79032507.5 "chr10_2" "OR-Cluster-6" "II"
"46" 1089952 "chr10" 106502737 106503202 "+" "Olfr1556-ps1" 106502969.5 "chr10_3" NA "II"
"47" 1106199 "chr10" 128989431 128992102 "+" "Olfr9" 128990766.5 "chr10_1" "OR-Cluster-7" "II"
"48" 1106207 "chr10" 129010791 129013313 "+" "Olfr763" 129012052 "chr10_1" "OR-Cluster-7" "II"
"49" 1106215 "chr10" 129032697 129039896 "-" "Olfr764" 129036296.5 "chr10_1" "OR-Cluster-7" "II"
"50" 1106227 "chr10" 129044817 129049998 "-" "Olfr765" 129047407.5 "chr10_1" "OR-Cluster-7" "II"
"51" 1106243 "chr10" 129061853 129068977 "-" "Olfr766" 129065415 "chr10_1" "OR-Cluster-7" "II"
"52" 1106255 "chr10" 129074825 129082910 "-" "Olfr767" 129078867.5 "chr10_1" "OR-Cluster-7" "II"
"53" 1106274 "chr10" 129090222 129099375 "-" "Olfr768" 129094798.5 "chr10_1" "OR-Cluster-7" "II"
"54" 1106289 "chr10" 129108952 129117861 "-" "Olfr769" 129113406.5 "chr10_1" "OR-Cluster-7" "II"
"55" 1106319 "chr10" 129132578 129138998 "-" "Olfr770" 129135788 "chr10_1" "OR-Cluster-7" "II"
"56" 1106359 "chr10" 129160003 129164751 "-" "Olfr771" 129162377 "chr10_1" "OR-Cluster-7" "II"
"57" 1106378 "chr10" 129172573 129177921 "-" "Olfr772" 129175247 "chr10_1" "OR-Cluster-7" "II"
"58" 1106397 "chr10" 129186484 129187419 "-" "Olfr773" 129186951.5 "chr10_1" "OR-Cluster-7" "II"
"59" 1106404 "chr10" 129236204 129239403 "+" "Olfr774" 129237803.5 "chr10_1" "OR-Cluster-7" "II"
"60" 1106420 "chr10" 129248412 129253924 "+" "Olfr775" 129251168 "chr10_1" "OR-Cluster-7" "II"
"61" 1106436 "chr10" 129259127 129264298 "+" "Olfr776" 129261712.5 "chr10_1" "OR-Cluster-7" "II"
"62" 1106452 "chr10" 129264407 129271485 "-" "Olfr777" 129267946 "chr10_1" "OR-Cluster-7" "II"
"63" 1106470 "chr10" 129288793 129288999 "-" "Olfr778-ps1" 129288896 "chr10_1" "OR-Cluster-7" "II"
